Ragione sociale;Partita IVA;Provincia;Indirizzo sede legale Regione; ultimo Bilancio Ricav delle vendite ;SISTEMA PREVALENTE
NATUZZI SPA;3513760722;Bari;Puglia;399745720;Sistema ARREDAMENTO
POLTRONESOFA  SPA;3613140403;Bologna;Emilia-Romagna;315292721;Sistema ARREDAMENTO
LUBE INDUSTRIES SRL;1504060433;Macerata;Marche;191232092;Sistema ARREDAMENTO
SCAVOLINI SPA;113120414;Pesaro Urbino;Marche;172895557;Sistema ARREDAMENTO
B&B ITALIA SPA;7122350965;Milano;Lombardia;168759481;Sistema ARREDAMENTO
POLTRONA FRAU SPA;5079060017;Monza e della Brianza;Lombardia;163193000;Sistema ARREDAMENTO
POLIFORM SPA;226920130;Como;Lombardia;161540108;Sistema ARREDAMENTO
VENETA CUCINE SPA;3764840264;Treviso;Veneto;147732905;Sistema ARREDAMENTO
IMAB GROUP SPA;111950416;Pesaro Urbino;Marche;145431089;Sistema ARREDAMENTO
MOLTENI E C.- SPA;694950965;Monza e della Brianza;Lombardia;145417171;Sistema ARREDAMENTO
CHATEAU D AX SPA;682600960;Monza e della Brianza;Lombardia;144462851;Sistema ARREDAMENTO
ARREDO 3 SRL;2886680277;Venezia;Veneto;138079137;Sistema ARREDAMENTO
GIESSEGI INDUSTRIA MOBILI;642760433;Macerata;Marche;128272531;Sistema ARREDAMENTO
KETER ITALIA SPA;9090250961;Treviso;Veneto;124239003;Sistema ARREDAMENTO
GRUPPO TURI SRL;3692800729;Bari;Puglia;117696155;Sistema ARREDAMENTO
CLUB HOUSE ITALIA SPA;6271501006;Roma;Lazio;117027903;Sistema ARREDAMENTO
CALLIGARIS SPA;5617370969;Udine;Friuli-Venezia Giulia;114167000;Sistema ARREDAMENTO
MINOTTI SPA;683370969;Monza e della Brianza;Lombardia;113894021;Sistema ARREDAMENTO
ANTOLINI LUIGI E C. SPA;448090233;Verona;Veneto;113040220;Sistema ARREDAMENTO
ABM ITALIA SPA;2358150262;Treviso;Veneto;107919677;Sistema ARREDAMENTO
CASSINA SPA;976180968;Monza e della Brianza;Lombardia;107060933;Sistema ARREDAMENTO
STOSA SPA;4494400486;Firenze;Toscana;106852829;Sistema ARREDAMENTO
MARINELLI CUCINE SRL;2354520419;Pesaro Urbino;Marche;105327467;Sistema ARREDAMENTO
MARINELLI PREFABBRICATI SRL;2267450415;Pesaro Urbino;Marche;97377361;Sistema ARREDAMENTO
ATL GROUP SPA;2065870400;Ravenna;Emilia-Romagna;89357804;Sistema ARREDAMENTO
KARTELL SPA;11349160157;Milano;Lombardia;88360217;Sistema ARREDAMENTO
PEDRALI SPA;2001160981;Bergamo;Lombardia;83414899;Sistema ARREDAMENTO
COMPOSAD SRL;2317920201;Mantova;Lombardia;81953980;Sistema ARREDAMENTO
FONTANA PIETRO SPA;1893490167;Lecco;Lombardia;76007067;Sistema ARREDAMENTO
ALESSANDERX SPA;1729090975;Prato;Toscana;73217181;Sistema ARREDAMENTO
A.L.F. UNO SPA;1919330264;Treviso;Veneto;73124583;Sistema ARREDAMENTO
FLEXFORM SPA;695310961;Monza e della Brianza;Lombardia;69679810;Sistema ARREDAMENTO
CATTELAN ITALIA SPA;872290242;Vicenza;Veneto;66348407;Sistema ARREDAMENTO
ARAN WORLD SRL;1444880676;Teramo;Abruzzo;65936328;Sistema ARREDAMENTO
IPAE PROGARDEN SPA;200760130;Como;Lombardia;64904735;Sistema ARREDAMENTO
MATERASSIFICIO MONTALESE SPA;1239420472;Pistoia;Toscana;62927102;Sistema ARREDAMENTO
MOBILIFICIO SAN GIACOMO SPA;73610933;Pordenone;Friuli-Venezia Giulia;61580771;Sistema ARREDAMENTO
ARPER SPA;3658750264;Treviso;Veneto;61507990;Sistema ARREDAMENTO
KNOLL INTERNATIONAL SPA;10364230150;Milano;Lombardia;60699831;Sistema ARREDAMENTO
LEMA SPA;222090136;Como;Lombardia;58935661;Sistema ARREDAMENTO
IND FRIGORIFERI ITALIANA;1061630412;Pesaro Urbino;Marche;57137690;Sistema ARREDAMENTO
LA FORTEZZA SPA;4573030485;Firenze;Toscana;55905881;Sistema ARREDAMENTO
TONTARELLI SPA;468570429;Ancona;Marche;54898245;Sistema ARREDAMENTO
SNAIDERO RINO SPA;153510300;Udine;Friuli-Venezia Giulia;54375000;Sistema ARREDAMENTO
GABEL INDUSTRIA TESSILE SPA;185790185;Como;Lombardia;54294663;Sistema ARREDAMENTO
ALESSI SPA;465840031;Verbano-Cusio-Ossola;Piemonte;53652652;Sistema ARREDAMENTO
SOFT LINE SPA;4099060727;Bari;Puglia;52085131;Sistema ARREDAMENTO
TRE P SPA;1184240776;Matera;Basilicata;51654444;Sistema ARREDAMENTO
BOFFI SPA (MB);2642250969;Monza e della Brianza;Lombardia;49277513;Sistema ARREDAMENTO
BATTISTELLA SPA;2048770263;Treviso;Veneto;48733177;Sistema ARREDAMENTO
FOPPA PEDRETTI SPA;223130162;Bergamo;Lombardia;46386419;Sistema ARREDAMENTO
ARRITAL SPA;255390932;Pordenone;Friuli-Venezia Giulia;46082890;Sistema ARREDAMENTO
NARDI SPA;2114700244;Vicenza;Veneto;45388553;Sistema ARREDAMENTO
IPE SRL;3007721206;Bologna;Emilia-Romagna;45043374;Sistema ARREDAMENTO
B E T SPA;903510402;Forlì-Cesena;Emilia-Romagna;44570828;Sistema ARREDAMENTO
GIORGETTI SPA;695300962;Monza e della Brianza;Lombardia;43667553;Sistema ARREDAMENTO
