;azienda;sistema;dimensione;Smart_count;Design_count;Sust_count;Soc_net_count;ranking
23;CASSINA SPA;Sistema ARREDAMENTO;grande;22;16;0;2;0.306371636255428
2;GIORGETTI SPA;Sistema ARREDAMENTO;media;15;13;5;0;0.292439160115013
9;LONGHI SPA;Sistema ARREDAMENTO;media;8;16;0;0;0.282621812289147
5;FLOU SPA;Sistema ARREDAMENTO;media;13;14;0;0;0.280201713064334
22;MINOTTI SPA;Sistema ARREDAMENTO;grande;7;6;0;4;0.27387955746371
1;BOFFI SPA (MB);Sistema ARREDAMENTO;media;4;8;0;5;0.262867591425808
20;MOLTENI E C.- SPA;Sistema ARREDAMENTO;grande;6;16;0;0;0.251519983215963
7;LIVING DIVANI SRL;Sistema ARREDAMENTO;media;4;12;0;1;0.251147655762803
17;QUATTROBI SRL;Sistema ILLUMINAZIONE;media;14;9;0;0;0.249849632697185
10;CAIMI BREVETTI SPA;Sistema ARREDAMENTO;media;13;10;0;0;0.239888354630885
24;FLEXFORM SPA;Sistema ARREDAMENTO;grande;0;18;0;5;0.229378388834111
8;ZANOTTA SPA;Sistema ARREDAMENTO;media;6;11;0;0;0.213069039930956
19;POLTRONA FRAU SPA;Sistema ARREDAMENTO;grande;9;7;0;0;0.189365249871496
4;CAP DESIGN SPA;Sistema ARREDAMENTO;media;2;9;0;0;0.173673556722377
15;REGGIANI SPA ILLUMINAZIONE;Sistema ILLUMINAZIONE;media;3;2;0;2;0.169974627966288
16;FAEL SPA O FAELLUCE SPA;Sistema ILLUMINAZIONE;media;5;0;0;1;0.167973847247261
11;S.75 SPA;Sistema ARREDAMENTO;media;2;6;0;0;0.142964705196516
13;I.V.M. SPA;Sistema UFFICIO;media;2;3;0;0;0.118763766998751
18;S.I.D.E. SPA;Sistema ILLUMINAZIONE;media;0;3;0;0;0.0936847354744827
21;CHATEAU D AX SPA;Sistema ARREDAMENTO;grande;0;3;0;0;0.0936847354744827
3;BAXTER SRL;Sistema ARREDAMENTO;media;0;2;0;0;0.0689096336761971
12;INTERNATIONAL OFFICE;Sistema UFFICIO;media;0;2;0;0;0.0689096336761971
14;ARES SRL;Sistema ILLUMINAZIONE;media;0;1;0;0;0.0458014409190682
6;MERIDIANI SRL;Sistema ARREDAMENTO;media;0;0;0;0;0.0223952866080816
