,azienda,sistema,dimensione,smart_count,design_count,sust_count,soc_net_count
0,BOFFI SPA (MB),Sistema ARREDAMENTO,media,4,8,0,5
1,GIORGETTI SPA,Sistema ARREDAMENTO,media,15,13,5,0
2,BAXTER SRL,Sistema ARREDAMENTO,media,0,2,0,0
3,CAP DESIGN SPA,Sistema ARREDAMENTO,media,2,9,0,0
4,FLOU SPA,Sistema ARREDAMENTO,media,13,14,0,0
5,MERIDIANI SRL,Sistema ARREDAMENTO,media,0,0,0,0
6,LIVING DIVANI SRL,Sistema ARREDAMENTO,media,4,12,0,1
7,ZANOTTA SPA,Sistema ARREDAMENTO,media,6,11,0,0
8,LONGHI SPA,Sistema ARREDAMENTO,media,8,16,0,0
9,CAIMI BREVETTI SPA,Sistema ARREDAMENTO,media,13,10,0,0
10,S.75 SPA,Sistema ARREDAMENTO,media,2,6,0,0
12,INTERNATIONAL OFFICE,Sistema UFFICIO,media,0,2,0,0
14,I.V.M. SPA,Sistema UFFICIO,media,2,3,0,0
15,ARES SRL,Sistema ILLUMINAZIONE,media,0,1,0,0
16,REGGIANI SPA ILLUMINAZIONE,Sistema ILLUMINAZIONE,media,3,2,0,2
17,FAEL SPA O FAELLUCE SPA,Sistema ILLUMINAZIONE,media,5,0,0,1
18,QUATTROBI SRL,Sistema ILLUMINAZIONE,media,14,9,0,0
19,S.I.D.E. SPA,Sistema ILLUMINAZIONE,media,0,3,0,0
20,POLTRONA FRAU SPA,Sistema ARREDAMENTO,grande,9,7,0,0
21,MOLTENI E C.- SPA,Sistema ARREDAMENTO,grande,6,16,0,0
22,CHATEAU D AX SPA,Sistema ARREDAMENTO,grande,0,3,0,0
23,MINOTTI SPA,Sistema ARREDAMENTO,grande,7,6,0,4
24,CASSINA SPA,Sistema ARREDAMENTO,grande,22,16,0,2
25,FLEXFORM SPA,Sistema ARREDAMENTO,grande,0,18,0,5
